,commentText,commentClassification,length
2009, remove commented lines . for styles and php code as well .,refactoring suggestion,59
2012,it is better to add an here as well .,refactoring suggestion,37
2013,use enum product entity type here . no hardcoded string .,buggycode suggestion,57
2014,any update ?,completeness suggestion,12
2015,please resolve conflicts .,logistics suggestion,26
2016,can t we use color from theme ?,questioning,31
2018,there are lot of functions which get data from areas so please use that .,reuse suggestion,73
2020, please use isset,code suggestion,17
2021,why it is added twice ?,buggycode suggestion,23
2022,remove the plus,refactoring suggestion,15
2023, f d d f b cf fd c we need to change the in orderdetails .jsx file . ,code suggestion,69
2024,please check isset or !empty here .,code suggestion,35
2025, const currentjoins selection applied ,code suggestion,38
2026,i did not get the use of globalfilterconfiginput class . can you please explain why would we use ?,questioning,98
2027, it has been verified,logistics suggestion,21
2028,orderby is not related please remove,refactoring suggestion,36
2029,change it to listofwarehouse .add suggestedorderline ,code suggestion,53
2030,any update ?,completeness suggestion,12
2031,why removed check for null getactivty ? ? ?,questioning,43
2032,no test cases ?,completeness suggestion,15
2033,is this naming correct ?,spelling suggestion,24
2034,generic name for controller why tus specific controller ?,buggycode suggestion,57
2035,please add space after .,refactoring suggestion,24
2036,code redabilbity is poor . .please fix indentation,refactoring suggestion,50
2037, f ea d fb a f c you can map it and then send it right ?,questioning,56
2038,need to rename it const query widget downloads gql . . ,code suggestion,55
2039,we can import like import gql usemutation from apollo client ,code suggestion,61
2040,method should be named appropriately . this is building the message but not sending it,spelling suggestion,86
2041,why only table .getmeasures ?,code suggestion,29
2042,reformat the code .,refactoring suggestion,19
2045,declare vistingtypeexist variable .,buggycode suggestion,35
2046,remove the commented code .,refactoring suggestion,27
2049,please resolve conflicts .,logistics suggestion,26
2050,resolve the conflicts .,logistics suggestion,23
2052,please avoid using cursor loader next time type to use mvvm flow for newly activty,buggycode suggestion,82
2053,hold this one . .dont merge,logistics suggestion,27
2055,there are lot of white spaces in the selection string . please correct them .,refactoring suggestion,77
2056, f ea d fb a f c did you check this comment ?,completeness suggestion,45
2057,remove unneccary new lines .,refactoring suggestion,28
2059,don t we have any standard error codes for such cases ? ,questioning,56
2060,remove contain .,refactoring suggestion,16
2062,please change the variable name localdate .,spelling suggestion,43
2063,is this method using for different task ? ? ? ? or only using time here,questioning,71
2065,it looks empty class . please remove it if we are not using it .,refactoring suggestion,64
2066,reformat the code .,refactoring suggestion,19
2067,can we use footer from mds layout here .,reuse suggestion,40
2068,plz indent properly . dont understand why this method is needed .,refactoring suggestion,65
2069,please get setting in model only use function getsettingfromname .,code suggestion,66
2070,reformat the code .,refactoring suggestion,19
2071,please bypass for admin . it will get all the warehouse .,buggycode suggestion,57
2074, e c a d please add a line description at least .,documentation suggestion,49
2075,same lines two times top and bottom please check and remove .,refactoring suggestion,61
2076,resolve the conflicts . add changes in skuorderadapter .,logistics suggestion,56
2077,change it to mod ,spelling suggestion,17
2078,bhai raise this pr on releaseintegration .,logistics suggestion,42
2079,correct indentation .,refactoring suggestion,21
2081,is it correct or just for testing used ?,questioning,40
2082,almost same code in all the cases it can be improved by writing a method .,buggycode suggestion,74
2084,remove the whole table as it done for the same,refactoring suggestion,46
2086,can we put these constants in one common place ?,refactoring suggestion,48
2087,please get it verified will merge after verification,completeness suggestion,52
2090,alignement,refactoring suggestion,10
2091,please correct this,buggycode suggestion,19
2092, export const delete url string params string ,code suggestion,46
2093,only !objects .isnull autoschedulefield is required to be checked,code suggestion,65
2094,you can use data annotation if you want to override all the class properties,code suggestion,76
2095,spelling of widget is wrong did you test this ?,buggycode suggestion,47
2097,please check if the set combine can be used in the loop here as well .,code suggestion,70
2098,please fetch only the erpids which the data has been provided .,buggycode suggestion,63
2099,adding company info and user info api string in above query is correct ?,buggycode suggestion,72
2100, const paginate setpaginate usestate false ,code suggestion,43
2101,remove commented line .,refactoring suggestion,23
2103,why removed the space . please fix that .,refactoring suggestion,41
2105,what does means ?,buggycode suggestion,17
2107,also keep it outside appdrawer component,code suggestion,40
2108,we have already calling the getsettingforname plz check .,spelling suggestion,57
2110,please specify the reason for encode and decode of the values what is the use case of the same .,documentation suggestion,96
2111,let s define this in a constants file,buggycode suggestion,37
2112,please resolve conflict .,logistics suggestion,25
2113,please remove the active condition,refactoring suggestion,34
2114,use data ! null first then check for other field,code suggestion,48
2115,correct indentation .,refactoring suggestion,21
2116,any reason to move getgrids function inside actiondialog component ?,questioning,68
2119,please convert whole function indentation to tabs .,refactoring suggestion,51
2120,indentation,refactoring suggestion,11
2121,where is foreign key ? ,buggycode suggestion,23
2122,space required ?,refactoring suggestion,16
2123,can remove ?,questioning,12
2124,there are branches with same name,logistics suggestion,33
2125,what was the problem caused earlier ?,questioning,37
2126,please use a space after the comma conditions schemeholder .holdertype explode holdertype ,refactoring suggestion,90
2129,please keep a common date time formatter,refactoring suggestion,40
2131,please update .,completeness suggestion,15
2133,retailerapp .equals ,code suggestion,20
2134,please change variable name to orderedheaderkeys or something like that .,spelling suggestion,73
2135,duplicate pr data inline card please delete this if not required .,logistics suggestion,66
2136,can we remove the console if not required ?,refactoring suggestion,43
2137,this seems to be a copy of an existing method . what is the difference ?,questioning,72
2138, b dfc e b aaff please make the necessary changes .,code suggestion,51
2139,even for mobile view desktop view ?,questioning,35
2140,formatting required .,refactoring suggestion,21
2143, b be b a ce a fd please add index based on your search conman criteria . ,code suggestion,74
2144,space after ,refactoring suggestion,12
2145,alignment,refactoring suggestion,9
2148,xml response is requested from api bro .,code suggestion,40
2149,keep condition as common,code suggestion,24
2150,can you check the formdefinition sql is added or not .,logical suggestion,54
2152,why is there gaps before set and after key ?,questioning,44
2153, e a b fe a c ad c all points mentioned in ticket are completed ?,questioning,65
2154,why to define new variable companyoutlets . please use unmappedcompanyoutlet directly .,code suggestion,87
2155,please use constants,buggycode suggestion,20
2156,i want test cases for smtp go vendor calls,completeness suggestion,42
2158,no db call should be needed . this should be done using cache totally .,buggycode suggestion,71
2159,will finally block be executed if we return from try block . i m not sure about this .,buggycode suggestion,86
2161,please check whether button api has a start icon or not . if so you can use that,reuse suggestion,80
2162,can there be extra field for info ? something like the warehouse id would help,logical suggestion,78
2163,verified ticket ,logistics suggestion,16
2164,we should be having a common function for this,buggycode suggestion,46
2166,add unique index colun on erp id,code suggestion,32
2167, aaf e a d e b c d d db return new linkedhashset add cubeutils .getfieldname abc ,code suggestion,81
2168,what is the purpose of logging like this ? how will this help us in debugging ?,questioning,79
2169,spacing issues space after comma space after and before space before and after ,refactoring suggestion,79
2171,you can directly access spacing here like minwidth spacing ,code suggestion,59
2172, ffc ed dbf da ae remove your log .,refactoring suggestion,35
2174,please do not change default value .,buggycode suggestion,36
2175,please use variant caption color textsecondary ,code suggestion,47
2176,space before and after . here and all following lines .,refactoring suggestion,55
2177,please resolve conflict .,logistics suggestion,25
2178,ticket has been reopened ,logistics suggestion,25
2179,indentation,refactoring suggestion,11
2181,mdm id will differenet for every company . please change the query .,buggycode suggestion,68
2182,don t we need this for following options ?,questioning,42
2184,please edit the pr and move the destination branch to dev branch .,logistics suggestion,66
2185,this bug is need in ri or sanity check with qa .,logistics suggestion,48
2186,please check for wrong space indentation used .,refactoring suggestion,47
2188,is the company using vat in gst columns ?,questioning,41
2189, . the key prop is missing ! . do we really need this empty tag ? ,buggycode suggestion,66
2190,please test it out once . i don t you need the id part here it ll automatically insert,completeness suggestion,86
2191,please use active parameter either in url get request and populate data based on the same .,refactoring suggestion,91
2192,why both mapperutils and gson ? we should ideally use ,code suggestion,54
2193,are we are not using these strings ? then please removed these changes .,refactoring suggestion,72
2194, b dfc e b aaff please update .,completeness suggestion,31
2195,can we make the query name as warehousebankdetails please .,spelling suggestion,59
2196,this sounds more like a command . be gentle to the user,logical suggestion,55
2198, aaf e a d e b c d d db we can re create . please plan for such if there is not enough time for now,logical suggestion,99
2199,any reason why view was removed,refactoring suggestion,31
2200,please fix the conflict .,logistics suggestion,25
2201,please get it verified and update pr for merge .,completeness suggestion,48
2202,please remove data saved string in reason and add a correct message .,refactoring suggestion,69
2203, . rename it to react app retailer native contact number point right app contact number ,spelling suggestion,88
2204,convert all indentations to tabs .,refactoring suggestion,34
2205,please maintain the indentation through out file,refactoring suggestion,48
2206, a c bb c ee ca f please do the same changes at all places .,refactoring suggestion,60
2207,please resolve conflict,logistics suggestion,23
2209,use getcompany function which is written in company .php model .,reuse suggestion,64
2211,re runnable please,buggycode suggestion,18
2212,it s not a correct way of naming component !,buggycode suggestion,44
2215,please get it verified and update pr we will merge once verified .,completeness suggestion,66
2217,wring error message please correct it .,buggycode suggestion,39
2218,removed this unnecessary code .,refactoring suggestion,31
2221,space after ,refactoring suggestion,12
2222,invalid created date .,buggycode suggestion,22
2223,remove this,refactoring suggestion,11
2224,just a thought should we rename this class name is very outdated .,spelling suggestion,66
2225,this comment should be present just before line as it is describing about the function getloyalty .,logical suggestion,99
2226,i hope this old comment does these still exists ?,questioning,49
2227,approved to bypass merge check i have not reviewed this pr unitll now .,logistics suggestion,71
2228,what is the difference .,questioning,24
2231,please convert to object response .,code suggestion,35
2232, check userprofile to change preference point down check user profile page to change preference ,spelling suggestion,96
2233,please get it verified and update pr for merge .,completeness suggestion,48
2235,we are using primarywarehouse to load default warehouse selected in case of multiple warehouse .,code suggestion,96
2236,why the space ?,refactoring suggestion,15
2237, f ea d fb a f c why we are doing this ?,questioning,40
2238,remove commented lines .,refactoring suggestion,24
2239,why hardcoding ?,buggycode suggestion,16
2241,please create the re runnable sql queries,buggycode suggestion,41
2242,going forward use spaces before and after ,refactoring suggestion,42
2243,check the closed brackets .,refactoring suggestion,27
2245,please do formatting,refactoring suggestion,20
2246,please check the audit functionality as well,completeness suggestion,44
2247,new columns are added in hsnnewcolumns please move it to hsns .sql,code suggestion,66
2248,use for single line if as well .,refactoring suggestion,32
2249,use ignore in query to make it rerunnable,buggycode suggestion,41
2250,requestbody will not be available in this service tier . please remove the annotation .,code suggestion,87
2251,please do need full to laxmikanth said things .,completeness suggestion,47
2252,why is default gstinvoicetemplate changed here . ?,questioning,50
2253,remove after keyword .,refactoring suggestion,22
2254,this need to be in sanity branch . please check,logistics suggestion,47
2255,i think setting values here require some cleanup will discuss over call .,refactoring suggestion,73
2256,please get it verified then we can merge to ri .,completeness suggestion,48
2257,add loge also,code suggestion,13
2258,please remove this,refactoring suggestion,18
2259,please swap the logic and use isset here . will make it faster,buggycode suggestion,62
2260,qq here is reason list for a company dependent on the outlet ?,questioning,62
2261,why these name addition ?,questioning,25
2262,please check this code removed due to some error for normal company settings .,completeness suggestion,78
2263,rename the variable,spelling suggestion,19
2264,they might need in collection screen as well . please check and add there as well .,code suggestion,83
2265,please use the server date .,refactoring suggestion,28
2266,hold this one,logistics suggestion,13
2267,unmappedinvoice is already there in master,logistics suggestion,42
2269,we can use trim and empty is good na .,code suggestion,38
2270,reformat the code .,refactoring suggestion,19
2271,fix indentation .,refactoring suggestion,17
2273,please don t use inline styling,refactoring suggestion,31
2275,you dont need the first condition,code suggestion,33
2276,format the code .,refactoring suggestion,17
2277, e a b fe a c ad c why we added this ? please explain .,questioning,55
2278,resolve the conflicts and change the target branch to development .,logistics suggestion,67
2280,do log if possible as to which variable is missing from here,documentation suggestion,60
2281,order date will never change . .rename the variable name .,spelling suggestion,58
2283,if the remaining two mappings are not being used then let s remove it .,refactoring suggestion,71
2284,also you can use functional map to do the same,code suggestion,46
2285,please merge delete oldorder mdm .s ql and update mdm newskuorderupload .sql ,logistics suggestion,77
2286,spelling okay or ok ,spelling suggestion,20
2287,please don t hard code strings in the code . get it from strings .xml .,buggycode suggestion,71
2288, ffc ed dbf da ae important you should put this image in all the apps folders,code suggestion,77
2289,is this check really required here ? ,code suggestion,37
2290,why this key has been changed ?,questioning,31
2291,why the space ?,refactoring suggestion,15
2292,sir please remove these console commands .,refactoring suggestion,42
2293, marginbottom spacing ,code suggestion,22
2294,are there variables required if we are not using them ?,questioning,55
2295,approved,logistics suggestion,8
2296,this shouldn t be there it should be in a separate constant,buggycode suggestion,59
2297,this is the main change right ? where the type is boolean but we are not showing in string format ?,questioning,99
2298,onerror ?,questioning,9
2299,space after ! ,refactoring suggestion,14
2300,why don t you just take currentprojections ?,logical suggestion,44
2301,please try to add strings from strings .xml . if not now please update them later .,buggycode suggestion,83
2304,please get it verified and update pr for merge .,completeness suggestion,48
2307,fix indentation .,refactoring suggestion,17
2308,delete commented line please .,refactoring suggestion,30
2309, e a b fe a c ad c have to add key recursive projections recursivekey ,code suggestion,70
2310,cleanup ?,refactoring suggestion,9
2311,instead of hard deleting can we do it in immutable way ?,code suggestion,56
2312,you can get the db from token itself . token .getdbname ,code suggestion,56
2313,log error don t print stacktrace like this,buggycode suggestion,42
2314,shouldn t outlets also have a join with warehouseoutlettcs ?,code suggestion,60
2315,have we added support only role hierarchy filter ?,questioning,50
2316, d dbd ea c c f b i see a ddl change as well . please include that with this pr,completeness suggestion,79
2317,set target to development,logistics suggestion,25
2318, e a b fe a c ad c can t we give it as extras .sizing .bystep ,code suggestion,62
2319,dont round off while assigning can roundoff while showing or at last,buggycode suggestion,68
2321,make it private final,code suggestion,21
2322,afaik graphql does not allow overloading . will ui break if we release it this way ?,buggycode suggestion,84
2325,please do indentation,refactoring suggestion,21
2326,correct indentation .,refactoring suggestion,21
2327,get the string literal from strings .xml ,buggycode suggestion,41
2328,can we see unit test cases for what you have written ?,completeness suggestion,54
2329,space before and after ,refactoring suggestion,23
2330,please change name of this function .,spelling suggestion,37
2331,need to check this .,buggycode suggestion,20
2332,you can use boolean .parseboolean,code suggestion,33
2333,empty array maybe ?,code suggestion,19
2334,please get it verified and update ticket once verified will merge then .,completeness suggestion,72
2335,please get it verified and update pr for merge .,completeness suggestion,48
2338,please use proper naming res doesn t imply any meaning .,spelling suggestion,56
2339,this should an enum from backend .,code suggestion,34
2341,please pull out userfilter condition outside subquery .,buggycode suggestion,55
2342,this changes are not required please revert .,buggycode suggestion,45
2343,why is it a specific condition on equals ?,questioning,42
2346,multiple codes are there,logistics suggestion,24
2348,please split the condition on to multiple lines for more readbility .,refactoring suggestion,69
2349,here we are not checking for the existence of user id and beat id,buggycode suggestion,65
2350,if the response comes as what would it imply ?,questioning,46
2351,we can remove un wanted code also .,refactoring suggestion,35
2352,correct indentation use single tabs .,refactoring suggestion,37
2354, import gql usemutation from apollo client ,code suggestion,43
2355,use object field donot use indexed array response .,buggycode suggestion,51
2358,if it failed here should we not throw an exception ?,buggycode suggestion,52
2359, value can do like this as well,code suggestion,31
2360,create one query as we adding same time na .,refactoring suggestion,44
2361,you are just logging not returning how will it resolve crash ?,buggycode suggestion,62
2362,verified ,logistics suggestion,9
2363,please remove unnecessary space they take bytes each .,refactoring suggestion,54
2364,correct indentation whole block of ?php ? should be tab lesser .,refactoring suggestion,64
2365,its not list of warehouse but list of objects,buggycode suggestion,45
2366,please resolve conflict .,logistics suggestion,25
2367,please get it tested and update the pr for merge .,completeness suggestion,50
2368,use and not or it will solve not below if condition .,buggycode suggestion,53
2370,remove commented code,refactoring suggestion,21
2371,this changes are not required please revert .,buggycode suggestion,45
2372,use react .fragment instead of ,code suggestion,31
2373,donot type caste as object .,buggycode suggestion,28
2374,account can be null . same issue has created crash in asset module .,buggycode suggestion,68
2375,mreasonlist and mreasonlistfordisplay not required . only one should be sufficient .,code suggestion,84
2376,update the version,logistics suggestion,18
2377,refactor the code .,refactoring suggestion,19
2378,refactore call comment,buggycode suggestion,22
2381,convert all indentations to tabs .,refactoring suggestion,34
2382, f f ac e b c array search loops an array,code suggestion,41
2383,this comment is outdated please remove it,refactoring suggestion,41
2385,validate responsetype with the ones which we support else fall back to xml json,completeness suggestion,79
2387,use function iswarehouse in app model outlet .php to check if it s outlet warehouse .,reuse suggestion,85
2388,what do these nos mean ?,buggycode suggestion,24
2389,only value right ?,questioning,18
2391,if we are not using event then mark it event ,code suggestion,45
2393,same issue about access modifier thread safety .,buggycode suggestion,48
2394,as discussed please create an separate table and maintain data in nf,refactoring suggestion,68
2395,can we use gettransactionid here ? not a blocker but we can avoid code duplication .,code suggestion,84
2396,always update db version on any change in db schema .,logistics suggestion,53
2397,set the variable as array itself . we can avoid condition checks later .,logical suggestion,72
2398,please add default values . why is it var char when it is task id ?,buggycode suggestion,67
2400,why is segmentation code removed b d dbe b bbcc can you please check . ,code suggestion,71
2401,please correct indentation .,refactoring suggestion,28
2403,why are we starting validation with true ?,questioning,42
2404,it should be orderids from backend side,spelling suggestion,39
2406,please handle the exception case . test .blahbla ,buggycode suggestion,49
2407,please update .,completeness suggestion,15
2408,is this code required ?,questioning,23
2410,why we are not using props directly . eg spacing palette all . same as companies .jsx,code suggestion,85
2412, f ea d fb a f c decline this pr ?,questioning,34
2414,why used not getting .,questioning,22
2415,why onchange ?,buggycode suggestion,14
2416,we do not add devcompany url here . i am cofused here,questioning,53
2418,what are the changes here ?,questioning,27
2419,why will skunit name contain sku inactive ?,questioning,43
2420,why the spacing in here and in the outlets name ?,refactoring suggestion,49
2421,fix alignment,refactoring suggestion,13
2422,logd will write into the log file ? if not please change it to logi logv .,code suggestion,74
2423,not used means remove this,refactoring suggestion,26
2424,once qa verifies then we will merge this,logistics suggestion,40
2425,use isset instead of array key exists . and check alignment of the code .,code suggestion,73
2426,please recheck the id of textview . there is typo in otp .,spelling suggestion,58
2427, ffc ed dbf da ae why border is handled with spacing ? we can just put px here .,code suggestion,80
2428,to get primarywarehouse we are doing this same execution in every card .,buggycode suggestion,72
2430,where is widgetrepository used ?,questioning,32
2431,update it to development for next release,logistics suggestion,41
2432,remove double tabs here . for whole block of code .,refactoring suggestion,51
2433, rowdata id isset checkrowexist keywithoutactive ? checkrowexist keywithoutactive ,questioning,82
2434,please add default values .,buggycode suggestion,27
2435,does this code ever executes !,buggycode suggestion,30
2436,do we need to query relatedtables here ?,questioning,40
2437,please use a space after the comma conditions schemeholder .holdertype explode holdertype ,refactoring suggestion,90
2439,please refer to stockavailabilitywidget line to for doing it in the similar fashion,reuse suggestion,83
2440,please get it tested once verified will merge .,completeness suggestion,47
2441,please let s not hardcode use theme .specing for both,buggycode suggestion,53
2443,please format .,refactoring suggestion,15
2444,space after comma .,refactoring suggestion,19
2446,remove commented codes,refactoring suggestion,22
2447,please update after verification .,completeness suggestion,34
2449, d aae b ea c e f a why do you need findany .get ? isn t the stream with map sufficient ?,buggycode suggestion,89
2450, aaf e a d e b c d d db why to use true false in string .,buggycode suggestion,57
2451,proper indentation is required .,refactoring suggestion,32
2452,wont this change affect other places using same function .,completeness suggestion,58
2453,can we run a single for loop to get the data instead of multiple extracts,refactoring suggestion,73
2454,why are we opening this modal just showing this message ? can t we just show error message .,questioning,92
2456,you can do includes ,code suggestion,20
2457,why don t you use filter directly ?,code suggestion,35
2459,remove these two lines no need . as we are using data table na .,refactoring suggestion,64
2461,remove overlay overlaytext classes as these are not used anywhere .,code suggestion,67
2462,remove this change,buggycode suggestion,18
2463,can you share the query or condition what its creating .,completeness suggestion,56
2464,formmating .,refactoring suggestion,12
2465,use proper name and create constant,buggycode suggestion,35
2467,why is the hardcoded ?,buggycode suggestion,22
2468,please rename the variable tcs amount as tcsamount,spelling suggestion,50
2469,can we not put everything in list projectionmodel ?,code suggestion,51
2470,you will have to add the mysql and the redis health indicator,code suggestion,61
2472,arrow here is unnecessary i feel it can come in restprops,logical suggestion,57
2473,why we referring placed from salesman orders can also be placed by distributor dmd backend ,questioning,91
2474,please change the target branch to development ,logistics suggestion,47
2475,two query same,buggycode suggestion,14
2476,if not using please remove this,refactoring suggestion,31
2477,we will have to add index . unique will have a problem when invoice is edited .,buggycode suggestion,79
2478,please dont update this on user input id fetch the id based on input provided then delete .,code suggestion,91
2479,correct indentation .,refactoring suggestion,21
2480,also why contains method ?,questioning,26
2481,please get it verified by qa and update we will merge the same .,completeness suggestion,64
2484,why this function needed now ? what was the issue ?,questioning,51
2486,please get the title from strings .xml .,buggycode suggestion,40
2487,it has been verified . ,logistics suggestion,23
2488,is it correct or just for testing used ?,questioning,40
2489,please resolved conflicts .,logistics suggestion,27
2490,please get it verified and update pr for merge .,completeness suggestion,48
2492,please correct the identation .,refactoring suggestion,31
2493,always create a query and then set .,buggycode suggestion,36
2495,verified ticket ,logistics suggestion,16
2497,conflict is there,logistics suggestion,17
2499,default ?,questioning,9
2500,remove the symbol,refactoring suggestion,17
2502,why this line ?,questioning,15
2503,why are we adding this ? we can update active inactive of the same combination of data .,buggycode suggestion,88
2505,no required will discuss on call,logical suggestion,32
2506,remove commented lines .,refactoring suggestion,24
2507,remove this new line .,refactoring suggestion,22
2508,it s a basic sense to have plural when we are passing array of items . warehouseids ?array id ,spelling suggestion,94
2509,add null check on data object to avoid any future crashes .,buggycode suggestion,59
2510,use datatables here .,code suggestion,21
2511,please fix alignement,refactoring suggestion,21
2515,code is breaking for report admin in all reports,buggycode suggestion,48
2517,use string resource with placeholder instead of this .,buggycode suggestion,54
2519,comment is not correct . ,documentation suggestion,25
2520,why are we storing outlet id in userids . ,buggycode suggestion,42
2521,please use !empty here as isset just checks if variable is set or not .,code suggestion,71
2522,what is use of this,questioning,19
2523, aaf e a d e b c d d db use theme object to get white color it must be there already .,reuse suggestion,86
2524,please make correction in the description . . default value is .,documentation suggestion,64
2525,please format query . and set default values if not null .,refactoring suggestion,58
2526,remove these empty lines .,refactoring suggestion,26
2527,this will work . ?php if eod map screen ? ,code suggestion,42
2528,please check the labels with the team or whoever is in it,spelling suggestion,57
2529,just missed the p yum scrolltobutton .jsx scrolltopbutton .jsx ,spelling suggestion,63
2530,for example muitablerow key some name element .userid element .gridid ,code suggestion,70
2531,please give us the query . so that we can suggest .,completeness suggestion,51
2532,nope jooqquerygenerator is used only for custom widget query parse generation .,buggycode suggestion,79
2533,do we need to query this ? ,questioning,27
2534,always returning true instead of based on setting . please correct this .,buggycode suggestion,73
2535,why this file came ?,questioning,20
2536,it has been verified,logistics suggestion,20
2537,you can do the mapping part outside itself . otherwise for every projection you are doing a map .,buggycode suggestion,97
2539,please resolve conflict will merge the same .,logistics suggestion,45
2540, e a b fe a c ad c have we tested on local all the function are working fine with latest version ?,completeness suggestion,98
2542,delete commented code if not required now .,refactoring suggestion,43
2544,please correct alignment .,refactoring suggestion,26
2545, e a b fe a c ad c don t we need this ? i remember there was an issue few days back .,buggycode suggestion,85
2546,why is the casing of the string fordate changed to fordate ? handle both if they are present .,code suggestion,94
2549,please user string literals from strings .xml instead of hard coding like this .,buggycode suggestion,80
2550,remove the response type,refactoring suggestion,24
2551,remove commented code .,refactoring suggestion,23
2552,what does mean ?,buggycode suggestion,16
2553,spellig mistake companies statusontop .length ,spelling suggestion,46
2554,should we follow any flow eighter or true ? ? ? ? make any standard flow for entire api for app,questioning,95
2556,keep a variable and compare only the variable . don t construct on each iteration,buggycode suggestion,81
2557,please add alternate strings for other languages .,code suggestion,50
2558,why are we taking multiple beat id s if we dont use it ?,buggycode suggestion,56
2559,make callback to activty fragment and do this there only for loose coupling,code suggestion,75
2560,can you pls move version to main pom and import the dependency here,code suggestion,67
2561,inline css are recommended . please use styles .,refactoring suggestion,48
2562,change to inner join,code suggestion,20
2563,use !empty,code suggestion,10
2564, b dfc e b aaff please update .,completeness suggestion,31
2565,please resolve conflict .,logistics suggestion,25
2566,full set alignment is to be fixed .,refactoring suggestion,35
2567,please add the ticket so that we can understand the context of this change . looks good otherwise,logistics suggestion,97
2569,merging as the same data is being sent in different keys for backward compatibility .,logistics suggestion,85
2571,why is the chunk split in sizes of ?,questioning,36
2573,please use constants,buggycode suggestion,20
2574,removed it .,refactoring suggestion,12
2575,please use string literal from strings .xml .,buggycode suggestion,45
2576,remove after command .,refactoring suggestion,22
2577,this is mutating the original context we should not be doing so,buggycode suggestion,63
2579,make rerunable query .,buggycode suggestion,22
2580,use space after comma,refactoring suggestion,21
2581,please get it verified and update pr will merge once verified .,completeness suggestion,63
2582,calculate round off after adding tcs to amount,code suggestion,46
2583,why this seperate line ? can we add it in the object directly ?,questioning,63
2584,can you add unique key here because it will not take any index ,buggycode suggestion,63
2585,we are not setting msg type as transactional here . f d d f b cf fd c d dbd ea c c f b ,buggycode suggestion,87
2586,its should be same above how we used alias for area . do .,reuse suggestion,58
2588,please delete commented lines .,refactoring suggestion,31
2589,maintain indentation throughout file,refactoring suggestion,36
2590,just isset will do na ? can i know array key exists is being used ?,buggycode suggestion,67
2591,please can you try or condition for activityformdata .activity type in one query ?,code suggestion,82
2593,why did we use stringutils .replace instead of replaceall ?,code suggestion,59
2594,move code from line to under else condition at line ,code suggestion,52
2595,verified ,logistics suggestion,9
2596,please format the code .,refactoring suggestion,24
2597,why is this required here ? graphql doesn t accept files,questioning,56
2598,please update version,logistics suggestion,21
2600,if is array true this will give error .,buggycode suggestion,39
2601,can we add history data of deletion . like in edit log . because it might create a problem .,code suggestion,92
2602,correct indentation .,refactoring suggestion,21
2603,can we make the query name as warehousebalancedetails please .,spelling suggestion,62
2604,add loge also here for future debugging purpose,code suggestion,47
2605,better to use localdatetime,code suggestion,27
2606,indentation .,refactoring suggestion,13
2607,using different class tag here . please check and correct .,buggycode suggestion,59
2609,rename the method as takescreenshot .,spelling suggestion,37
2611,use defined constants for this broadcast,buggycode suggestion,40
2612,fix indentation of block .,refactoring suggestion,26
2613,remove commented lines .,refactoring suggestion,24
2614,remove the this jsontoformdata it s already in app controller .,refactoring suggestion,63
2616,need to remove old key transaction type,refactoring suggestion,39
2617,what if multiple warehouses are mapped to same user ?,questioning,53
2618, a b b b c b bca it will be helpful if you could write some test cases,completeness suggestion,70
2619,sir please correct indentation .,refactoring suggestion,32
2620,correct alignemnt .,refactoring suggestion,19
2621,use company setting instead .,code suggestion,29
2622,remove this change,buggycode suggestion,18
2624,constants file,buggycode suggestion,14
2626, e a b fe a c ad c please check the delete button is this the correct behavior ? ! ,buggycode suggestion,83
2627,correct indentation . use single tabs .,refactoring suggestion,39
2628,keep the tooo,completeness suggestion,13
2629,please check with product about the error message,logical suggestion,49
2632,make it constant,buggycode suggestion,16
2637, .some ,code suggestion,7
2638,please use set extract here,code suggestion,27
2639,instead of stream .concat see if a builder helps out .,code suggestion,54
2640,correct this . or remove this comment,refactoring suggestion,37
2641,why using again this uri can we improve performance here ?,buggycode suggestion,58
2642,equalsignorecase will be better,code suggestion,31
2643,please get it verified and update will merge once verified .,completeness suggestion,60
2645, key products product .id point down key product card product .id ,code suggestion,66
2648,need to resolve conflict . ,logistics suggestion,27
2649,check whether local date time has any method to do the same thing,logical suggestion,65
2650,if activityformfieldid not present then we have to ingore instead of assigning null and saving .,buggycode suggestion,96
2652,i hope you have checked all the validations regarding this .,completeness suggestion,60
2654,i think we can remove these todos . this code will be required . please suggest .,logical suggestion,81
2655,these calculation not required already you will get the calculated value from function use that,buggycode suggestion,95
2656,what was the issue here ?,questioning,25
2657,space after and before ,refactoring suggestion,23
2658,why this recursive please make it as ,logical suggestion,37
2659,please raise pr on releaseintegration,logistics suggestion,37
2660,this is the third useeffect in this file going forward we may have stability issue here .,buggycode suggestion,89
2661,scheme percent cd percent rate and taxable amount already available so remove these calculations,refactoring suggestion,96
2662,please resolve the conflict and update the pr .,logistics suggestion,47
2663, c a c b a e e yes right only boolean variable not required .,logical suggestion,61
2664,let s cleanup this file if we don t need,refactoring suggestion,40
2665,please remove unnecessary space,refactoring suggestion,31
2666,please convert it as kotlin class .,code suggestion,35
2668,this seem not depending on result object ? ? is it correct ?,buggycode suggestion,60
2669,remove all unnecessary spaces from the sql query .,refactoring suggestion,50
2670,are these specific browser changes ? if so why ?,questioning,48
2672,mutating the variable is not good can we find another way ?,buggycode suggestion,59
2674,camelcase,spelling suggestion,9
2675,avoid dual tabs,refactoring suggestion,15
2678,use the constant which is already defined in eagleeyeconstants,code suggestion,62
2679,what is the significance of this field ?,questioning,40
